"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
45760,"4PS3","medium_airport","Paraport Airstrip",41.788417,-79.518586,1400,"NA","US","US-PA","Warren","no","4PS3",,"4PS3",,,
12243,"5A8","medium_airport","Aleknagik / New Airport",59.2826004028,-158.617996216,66,"NA","US","US-AK","Aleknagik","yes","5A8","WKK","5A8",,"http://en.wikipedia.org/wiki/Aleknagik_Airport",
3,"AGGH","medium_airport","Honiara International Airport",-9.42800045013428,160.054992675781,28,"OC","SB","SB-CT","Honiara","yes","AGGH","HIR",,,"http://en.wikipedia.org/wiki/Honiara_International_Airport",
4,"AGGM","medium_airport","Munda Airport",-8.32796955108643,157.263000488281,10,"OC","SB","SB-WE",,"yes","AGGM","MUA",,,"http://en.wikipedia.org/wiki/Munda_Airport",
312371,"AHJ","medium_airport","Hongyuan Airport",32.53154,102.35224,11600,"AS","CN","CN-51","Aba","no",,"AHJ",,,"http://en.wikipedia.org/wiki/Hongyuan_Airport",
45229,"AMC","large_airport","Mar de Cortés International Airport",31.351621252,-113.305864334,71,"NA","MX","MX-SON","Puerto Peñasco","yes",,,"AMC",,"http://en.wikipedia.org/wiki/Mar_de_Cort%C3%A9s_International_Airport",
8,"ANYN","medium_airport","Nauru International Airport",-0.547458,166.919006,22,"OC","NR","NR-14","Yaren District","yes","ANYN","INU",,,"http://en.wikipedia.org/wiki/Nauru_International_Airport","ANAU"
53,"AYBK","medium_airport","Buka Airport",-5.4223198890686,154.673004150391,11,"OC","PG","PG-NSB","Buka Island","yes","AYBK","BUA",,,"http://en.wikipedia.org/wiki/Buka_Airport",
54,"AYCH","medium_airport","Chimbu Airport",-6.02429008483887,144.970993041992,4974,"OC","PG","PG-CPK","Kundiawa","yes","AYCH","CMU",,,"http://en.wikipedia.org/wiki/Chimbu_Airport",
55,"AYDU","medium_airport","Daru Airport",-9.08675956726,143.207992554,20,"OC","PG","PG-WPD","Daru","yes","AYDU","DAU",,,"http://en.wikipedia.org/wiki/Daru_Airport",
56,"AYGA","medium_airport","Goroka Airport",-6.08168983459,145.391998291,5282,"OC","PG","PG-EHG","Goronka","yes","AYGA","GKA",,,"http://en.wikipedia.org/wiki/Goroka_Airport",
57,"AYGN","medium_airport","Gurney Airport",-10.3114995956,150.333999634,88,"OC","PG","PG-MBA","Gurney","yes","AYGN","GUR",,,"http://en.wikipedia.org/wiki/Gurney_Airport",
58,"AYGR","medium_airport","Girua Airport",-8.80453968048,148.309005737,311,"OC","PG","PG-NPP","Popondetta","yes","AYGR","PNP",,,"http://en.wikipedia.org/wiki/Girua_Airport",
59,"AYHK","medium_airport","Kimbe Airport",-5.46217012405396,150.404998779297,66,"OC","PG","PG-WBK","Hoskins","yes","AYHK","HKN",,,"http://en.wikipedia.org/wiki/Hoskins_Airport",
60,"AYKM","medium_airport","Kerema Airport",-7.96361017227,145.770996094,10,"OC","PG","PG-GPK","Kerema","yes","AYKM","KMA",,,"http://en.wikipedia.org/wiki/Kerema_Airport",
61,"AYKV","medium_airport","Kavieng Airport",-2.57940006256,150.807998657,7,"OC","PG","PG-NIK","Kavieng","yes","AYKV","KVG",,,"http://en.wikipedia.org/wiki/Kavieng_Airport",
62,"AYMD","medium_airport","Madang Airport",-5.20707988739,145.789001465,20,"OC","PG","PG-MPM","Madang","yes","AYMD","MAG",,,"http://en.wikipedia.org/wiki/Madang_Airport",
63,"AYMH","medium_airport","Mount Hagen Kagamuga Airport",-5.82678985595703,144.296005249023,5388,"OC","PG","PG-WHM","Mount Hagen","yes","AYMH","HGU",,,"http://en.wikipedia.org/wiki/Mount_Hagen_Airport",
64,"AYMN","medium_airport","Mendi Airport",-6.14773988723755,143.656997680664,5680,"OC","PG","PG-SHM",,"yes","AYMN","MDU",,,"http://en.wikipedia.org/wiki/Mendi_Airport",
65,"AYMO","medium_airport","Momote Airport",-2.06188988685608,147.42399597168,12,"OC","PG","PG-MRL",,"yes","AYMO","MAS",,,"http://en.wikipedia.org/wiki/Momote_Airport",
66,"AYNZ","medium_airport","Lae Nadzab Airport",-6.5698299408,146.725997925,239,"OC","PG","PG-MPL","Nadzab","yes","AYNZ","LAE",,,"http://en.wikipedia.org/wiki/Lae_Nadzab_Airport","MFO"
67,"AYPY","large_airport","Port Moresby Jacksons International Airport",-9.44338035583496,147.220001220703,146,"OC","PG","PG-NCD","Port Moresby","yes","AYPY","POM",,,"http://en.wikipedia.org/wiki/Jacksons_International_Airport",
68,"AYTK","medium_airport","Tokua Airport",-4.34045982361,152.380004883,32,"OC","PG","PG-EBR","Tokua","yes","AYTK","RAB",,,"http://en.wikipedia.org/wiki/Rabaul_Airport",
69,"AYVN","medium_airport","Vanimo Airport",-2.69717001914978,141.302001953125,10,"OC","PG","PG-SAN",,"yes","AYVN","VAI",,,"http://en.wikipedia.org/wiki/Vanimo_Airport",
70,"AYWD","medium_airport","Wapenamanda Airport",-5.64330005645752,143.895004272461,5889,"OC","PG","PG-EPW",,"yes","AYWD","WBM",,,"http://en.wikipedia.org/wiki/Wapenamanda_Airport",
71,"AYWK","medium_airport","Wewak International Airport",-3.58383011818,143.669006348,19,"OC","PG","PG-ESW","Wewak","yes","AYWK","WWK",,,"http://en.wikipedia.org/wiki/Wewak_International_Airport",
44941,"AZ-0001","medium_airport","Zabrat Airport",40.4955422161,49.9768066406,36,"AS","AZ","AZ-BA","Baku","no",,"ZXT",,,,
44954,"AZ-0013","medium_airport","Sital Chay Airport",40.8073129238,49.4314813614,,"AS","AZ","AZ-XIZ",,"no",,,,,,
44962,"AZ-0021","medium_airport","Kyzylagadzh Air Base",39.0061622679,48.8063120842,,"AS","AZ","AZ-MAS",,"no",,,,,,
27301,"BCW","medium_airport","Benguera Island Airport",-21.8533000946045,35.4383010864258,,"AF","MZ","MZ-I","Benguera Island","yes",,"BCW",,,"http://en.wikipedia.org/wiki/Benguera_Island_Airport",
111,"BG-JAM","medium_airport","Bezmer Air Base",42.4548988342,26.3521995544,509,"EU","BG","BG-28","Yambol","no","LBIA","JAM",,,"http://en.wikipedia.org/wiki/Bezmer_Airbase","LB44"
31697,"BGAA","medium_airport","Aasiaat Airport",68.7218017578,-52.7846984863,74,"NA","GL","GL-U-A","Aasiaat","yes","BGAA","JEG",,"http://airgreenland.com/om_rejsen/efter_rejsen/din_destination_/aasiaat/","http://en.wikipedia.org/wiki/Aasiaat_Airport",
